8,3,,,,,,,
ENG6,211861.787,221578.87,258.03,,,,,
ICYCUP,211702.527,221748.576,259.058,,,,,
ENG3,211739.019,221484.243,254.485,,,,,
ENG5,211819.12,221527.223,256.063,,,,,
ENG2,211717.786,221555.906,260.603,,,,,
ENG1,211758.531,221632.444,263.661,,,,,
GE7,211803.505,221567.466,258.47,,,,,
KNUST/10/15/6,211539.758,221574.157,256.359,,,,,
ENG6,6,40,24.21386,-1,33,53.11411,293.118,0
ICYCUP,6,40,29.73667,-1,33,58.32021,293.913,0
ENG3,6,40,21.13314,-1,33,57.1225,289.58,0
ENG5,6,40,22.52883,-1,33,54.50317,291.139,0
ENG2,6,40,23.46462,-1,33,57.81493,295.694,0
ENG1,6,40,25.9294,-1,33,56.44718,298.754,0
GE7,6,40,23.84261,-1,33,55.02419,293.566,0
KNUST/10/15/6,6,40,24.05132,-1,34,3.61355,291.233,0
ENG7,6,40,25.9511,-1,33,54.52648,298.396,0
ENG4,6,40,20.50799,-1,33,54.85313,286.504,0
KNUST/10/15/5,6,40,23.15106,-1,34,5.67452,286.751,0
